depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2089,9,4969,4643,-80.13333,36.63333000000001,0.4697449347058963,0.368792076210987,0.10095285849490931,0.626255086147083,0.6476294192233265,-0.02137433307624348,-32.1,-27.6,-4.5,-4.5
Middle,SCAN,SCAN:2090,4,5594,5314,-92.92462,35.20842,0.8550954608069619,0.7528300261690537,0.10226543463790816,0.8638853163768584,0.8182452226163013,0.04564009376055711,-3.9,-15.8,11.9,11.9
Middle,SCAN,SCAN:2091,4,6634,6377,-91.35017,34.27788,0.6467595031597453,0.6882626068625044,-0.041503103702759114,0.8030760310931727,0.7987661427875073,0.004309888305665366,-1.6,-19.9,18.299999999999997,18.299999999999997
Middle,SCAN,SCAN:2092,1,6317,6041,-97.0859,37.1313,0.5311247148862239,0.3249252019519393,0.20619951293428462,0.6492994500715732,0.35802921985413194,0.29127023021744125,11.9,8.9,3,-3
Middle,SCAN,SCAN:2093,5,6515,5977,-99.32953,39.78638000000001,0.5486216467166299,0.4010271626842832,0.14759448403234676,0.7096919793293476,0.6195284514438706,0.09016352788547699,13.7,-15.9,29.6,2.200000000000001
Middle,SCAN,SCAN:2094,3,6437,5785,-96.1629,39.70045,-0.42877476686528593,0.10302408563768306,-0.531798852502969,0.46762264406516213,0.2911465291833073,0.17647611488185483,-9.6,-31.2,21.6,21.6
Middle,SCAN,SCAN:2104,4,4258,4191,-102.03869,33.615359999999995,0.5524352980684184,0.6720304158410118,-0.11959511777259335,0.6993215749110266,0.7256874536341849,-0.02636587872315821,18.8,15.5,3.3000000000000007,-3.3000000000000007
Middle,SCAN,SCAN:2105,3,5656,4920,-102.37392,33.55125000000001,0.5708693039403172,0.22765645628518105,0.34321284765513616,0.7598807729040226,0.7506554877351566,0.009225285168866004,-1.6,61.8,-63.4,60.199999999999996
Middle,SCAN,SCAN:2106,6,5411,4436,-102.7453,33.62647,0.4140042012332764,0.48390332510981193,-0.06989912387653552,0.5107880259269382,0.6823102525877763,-0.17152222666083816,12.9,40.7,-27.800000000000004,27.800000000000004
Middle,SCAN,SCAN:2107,5,4208,3817,-103.242,33.53513,0.6445788917388771,0.025354128292794376,0.6192247634460827,0.6540429040341368,0.4151522684531592,0.23889063558097756,3.5,74.6,-71.1,71.1
Middle,SCAN,SCAN:2108,8,5192,4767,-103.63097,33.53382,0.07634445331725637,-1.679430805112173,1.7557752584294293,0.20021887865935908,0.46795764992857575,-0.26773877126921664,7.9,261.8,-253.9,253.9
Middle,SCAN,SCAN:2109,6,5365,5098,-90.57297,33.65910999999999,0.06703077927191126,0.43802882259035303,-0.3709980433184418,0.4471302992095059,0.44476668680310405,0.0023636124064018715,67.9,8.5,59.400000000000006,-59.400000000000006
Middle,SCAN,SCAN:2110,2,5710,5028,-90.51989,32.86153,0.21605352252309895,0.2293225876848618,-0.01326906516176285,0.24034681414693101,0.43357159344935253,-0.19322477930242152,-11.7,-42.5,30.8,30.8
Middle,SCAN,SCAN:2111,8,3614,3051,-101.72010000000002,40.37042,0.3328899775407631,0.21322290241262287,0.11966707512814023,0.7657687645942457,0.6769775656029184,0.08879119899132726,-46.3,-69.4,23.10000000000001,23.10000000000001
Middle,SCAN,SCAN:2113,3,5425,5209,-86.79897,34.19492,0.6257328210074289,0.7769389657878275,-0.15120614478039862,0.8245669400943538,0.8093980578681108,0.015168882226243019,3.7,1.7,2,-2
Middle,SCAN,SCAN:2114,9,5178,4836,-88.19743,32.608,0.7144424575188721,0.35636101366776507,0.3580814438511071,0.7561483859998552,0.7117723399572362,0.04437604604261902,-2.5,-44.2,41.7,41.7
Middle,SCAN,SCAN:2115,5,5582,5479,-85.74802,32.43455,0.4832624558782862,-0.33503545382706434,0.8182979097053505,0.6197277336181691,0.56959677853693,0.050130955081239104,-5.9,118.2,-124.10000000000001,112.3
Middle,SCAN,SCAN:2116,9,5033,4659,-118.49344999999998,40.09247,-0.11741477853847426,0.015300838793399163,-0.13271561733187343,0.0025865522679557017,0.16103707019532199,-0.15845051792736628,-32.2,-38.8,6.599999999999994,6.599999999999994
Middle,SCAN,SCAN:2117,5,4264,3954,-111.92363,48.30453,0.2754094999480502,0.17526228702578284,0.10014721292226736,0.3963656793385982,0.2756896001075298,0.12067607923106838,-31.6,-38.9,7.299999999999997,7.299999999999997
Middle,SCAN,SCAN:2118,10,4090,3597,-111.18423,48.43578000000001,0.4341680410196517,0.3429027857315561,0.09126525528809559,0.6533828339617719,0.71425551940761,-0.060872685445838126,21.1,-28.8,49.900000000000006,7.699999999999999
Middle,SCAN,SCAN:2119,9,5500,4442,-109.95082,47.05818,0.6120932819094403,0.7009437115305257,-0.08885042962108536,0.7391149074164601,0.7717739858246923,-0.03265907840823212,2.3,-6.7,9,4.4
Middle,SCAN,SCAN:2120,4,2858,2448,-104.247,47.77102,0.7170019430457371,0.41539735576704717,0.3016045872786899,0.793632700283907,0.6060663427467207,0.1875663575371863,-0.8,-32.9,32.1,32.1
Middle,SCAN,SCAN:2121,1,4307,3769,-107.12731,47.522,0.6124112461442983,0.44960491599085817,0.16280633015344015,0.8056204385014412,0.7181881581939076,0.08743228030753358,-13.6,-33,19.4,19.4
Middle,SCAN,SCAN:2125,1,5094,4321,-112.25122,38.15133,0.2947138142460005,0.45093876534160127,-0.15622495109560075,0.4718593806581832,0.6018553933143916,-0.12999601265620842,37.7,33.3,4.400000000000006,-4.400000000000006
Middle,SCAN,SCAN:2126,3,4986,4148,-111.57803,39.36798,0.3460264095315333,0.3490717733211369,-0.003045363789603628,0.48879859036858225,0.37315947812367767,0.11563911224490458,-19,-5,-14,-14
Middle,SCAN,SCAN:2127,1,5357,4871,-112.40155,39.192159999999994,0.5315269910808478,-0.22236579496946818,0.753892786050316,0.6520166202507403,0.41655613854682066,0.2354604817039196,29.2,99.3,-70.1,70.1
Middle,SCAN,SCAN:2128,10,5319,4871,-113.64324,37.63343,0.23640057659254354,0.4296727277491216,-0.19327215115657803,0.6332753535618952,0.7214020318024801,-0.08812667824058484,-29.8,-44.7,14.900000000000002,14.900000000000002
Middle,SCAN,SCAN:2129,7,4793,4766,-113.01053,38.34196,0.17936156708230455,0.2447753258286448,-0.06541375874634026,0.5822341476592958,0.44151867269038253,0.1407154749689133,-14.8,-39,24.2,24.2
Middle,SCAN,SCAN:2130,7,5417,4921,-109.17193,37.77853,0.32121311706337874,0.6303546595228844,-0.30914154245950565,0.7083421221706557,0.6470350281545247,0.06130709401613099,-25.6,2.5,-28.1,-23.1
Middle,SCAN,SCAN:2131,8,4839,4366,-110.16264,39.01825,-0.1265008037589832,-0.13378957512324963,0.007288771364266422,0.5538857262914899,0.41467069993223815,0.13921502635925176,103.4,94.6,8.800000000000011,-8.800000000000011
Middle,SCAN,SCAN:2132,6,4423,4349,-110.80604,39.53288,0.3301105792577014,0.5503726141138888,-0.22026203485618745,0.6604576350666448,0.7729370027808788,-0.11247936771423406,-10.9,-22.2,11.299999999999999,11.299999999999999
Middle,SCAN,SCAN:2133,10,4453,3992,-111.68555,40.9999,0.35624227717466417,0.44985226759478003,-0.09360999042011586,0.41348757247684204,0.5894542299657353,-0.17596665748889323,9.8,-6.7,16.5,-3.1000000000000005
Middle,SCAN,SCAN:2134,2,4957,4101,-110.40602,40.37263,0.37569029553616573,0.460695887812423,-0.08500559227625726,0.5685995223195316,0.6095454145468975,-0.04094589222736589,-14.9,-15.4,0.5,0.5
Middle,SCAN,SCAN:2135,2,5255,4708,-112.4336,41.93531,0.6566310238220168,0.656853611897428,-2.2258807541120085e-4,0.768635475700211,0.7185816455011341,0.05005383019907683,-15,-10.9,-4.1,-4.1
Middle,SCAN,SCAN:2136,5,5060,4526,-111.98043,41.81568,0.4782499114565334,0.3809542848591826,0.0972956265973508,0.5785968833148414,0.5648689658193102,0.01372791749553115,-27,-41.4,14.399999999999999,14.399999999999999
Middle,SCAN,SCAN:2137,7,5214,4676,-111.87044000000002,39.64554,0.45777447514500824,0.7671431062433542,-0.309368631098346,0.6353032450367444,0.7830388355566507,-0.14773559051990626,31.7,3,28.7,-28.7
Middle,SCAN,SCAN:2138,3,5199,4437,-109.36429,37.67455,0.4527093028559913,0.6176625075907515,-0.16495320473476016,0.6075291185054515,0.7061274431051829,-0.09859832459973139,-13.8,-18.5,4.699999999999999,4.699999999999999
Middle,SCAN,SCAN:2139,7,4742,4237,-109.12745,38.01394,0.5644004949801884,0.7501251002754487,-0.18572460529526025,0.760415123984783,0.7538731313299494,0.006541992654833573,-8.5,-2.3,-6.2,-6.2
Middle,SCAN,SCAN:2140,5,5294,5000,-109.33776,37.44671,0.4886879607096879,0.4702411578561334,0.01844680285355449,0.7710112509042493,0.6598150152672085,0.11119623563704073,-16.1,24.8,-40.900000000000006,8.7
Middle,SCAN,SCAN:2141,5,4543,4159,-115.60852,36.26527,0.6038432618234029,-1.7802673944417013,2.384110656265104,0.7316770695324939,0.49400252465594474,0.23767454487654915,27.1,263.8,-236.70000000000002,236.70000000000002
Middle,SCAN,SCAN:2142,2,4564,4210,-115.78127,36.37355,0.5319430193204349,-0.2183178280884861,0.750260847408921,0.7787400643410058,0.5163844040427695,0.2623556602982363,-25.9,64.3,-90.19999999999999,38.4
Middle,SCAN,SCAN:2144,6,4477,4081,-115.20422,36.57285,0.3592287734695806,-0.34754181282026475,0.7067705862898453,0.6093186474719199,0.6626615365878123,-0.05334288911589247,-7.2,129.8,-137,122.60000000000001
Middle,SCAN,SCAN:2145,7,4633,3703,-115.82047,36.36651,0.06193101086171959,-0.03242810544366992,0.09435911630538951,0.5295888933024068,0.13274698370426638,0.39684190959814036,-46.8,31.2,-78,-15.599999999999998
Middle,SCAN,SCAN:2146,1,5230,5203,-115.61194999999998,36.16555000000001,0.28251315863347404,0.5552077568180052,-0.2726945981845311,0.7325454020055936,0.7350932487171257,-0.0025478467115320758,-43.3,-14.9,-28.4,-28.4
Middle,SCAN,SCAN:2147,1,4255,3178,-95.19128,39.05140999999999,0.45019658836204113,0.37459406617113744,0.07560252219090369,0.8045520851962223,0.649896576057294,0.15465550913892834,-7,-27.7,20.7,20.7
Middle,SCAN,SCAN:2148,2,3863,3836,-117.0106,42.94863000000001,0.38102221261164126,0.5350104107732383,-0.15398819816159703,0.7851013204124943,0.7430000250741586,0.04210129533833562,-33.6,-34.2,0.6000000000000014,0.6000000000000014
